Dataset,NetworkType,c,Alternative,IsCandidate,IsUniqueOptimum,Welfare,SingletonSum,Surplus,SurplusPerNode,ImputationExists,Status,ImputationDiameter
Karate,Local,0,5,1,1,1777.10980392157,476.890196078431,1300.21960784314,38.241753171857,1,Nonempty,1838.78820347519
Karate,Local,0.122161155965654,5,1,1,1774.61771633987,479.382283660131,1295.23543267974,38.0951597846982,1,Nonempty,1831.73951536187
Karate,Local,0.244322311931308,5,1,1,1772.12562875817,481.87437124183,1290.25125751634,37.9485663975394,1,Nonempty,1824.69082724855
Karate,Local,0.366483467896963,5,1,1,1769.63354117647,484.366458823529,1285.26708235294,37.8019730103806,1,Nonempty,1817.64213913523
Karate,Local,0.488644623862617,5,1,1,1767.14145359477,486.858546405229,1280.28290718954,37.6553796232218,1,Nonempty,1810.59345102191
Karate,Local,0.610805779828271,5,1,1,1764.64936601307,489.350633986928,1275.29873202614,37.5087862360631,1,Nonempty,1803.54476290858
Karate,Local,0.732966935793925,5,1,1,1762.15727843137,491.842721568627,1270.31455686275,37.3621928489043,1,Nonempty,1796.49607479526
Karate,Local,0.85512809175958,5,1,1,1759.66519084967,494.334809150327,1265.33038169935,37.2155994617455,1,Nonempty,1789.44738668194
Karate,Local,0.977289247725234,5,1,1,1757.17310326797,496.826896732026,1260.34620653595,37.0690060745867,1,Nonempty,1782.39869856862
Karate,Local,1.09945040369089,5,1,1,1754.68101568627,499.318984313725,1255.36203137255,36.9224126874279,1,Nonempty,1775.3500104553
Karate,Local,1.22161155965654,5,1,1,1752.18892810458,501.811071895425,1250.37785620915,36.7758193002691,1,Nonempty,1768.30132234198
Karate,Local,1.3437727156222,5,1,1,1749.69684052288,504.303159477124,1245.39368104575,36.6292259131104,1,Nonempty,1761.25263422866
Karate,Local,1.46593387158785,5,1,1,1747.20475294118,506.795247058824,1240.40950588235,36.4826325259516,1,Nonempty,1754.20394611533
Karate,Local,1.5880950275535,5,1,1,1744.71266535948,509.287334640523,1235.42533071895,36.3360391387928,1,Nonempty,1747.15525800201
Karate,Local,1.71025618351916,5,1,1,1742.22057777778,511.779422222222,1230.44115555556,36.189445751634,1,Nonempty,1740.10656988869
Karate,Local,1.83241733948481,5,1,1,1739.72849019608,514.271509803922,1225.45698039216,36.0428523644752,1,Nonempty,1733.05788177537
Karate,Local,1.95457849545047,5,1,1,1737.23640261438,516.763597385621,1220.47280522876,35.8962589773164,1,Nonempty,1726.00919366205
Karate,Local,2.07673965141612,5,1,1,1734.74431503268,519.25568496732,1215.48863006536,35.7496655901576,1,Nonempty,1718.96050554873
Karate,Local,2.19890080738178,5,1,1,1732.25222745098,521.74777254902,1210.50445490196,35.6030722029989,1,Nonempty,1711.9118174354
Karate,Local,2.32106196334743,5,1,1,1729.76013986928,524.239860130719,1205.52027973856,35.4564788158401,1,Nonempty,1704.86312932208
Karate,Local,2.44322311931308,5,1,1,1727.26805228758,526.731947712418,1200.53610457516,35.3098854286813,1,Nonempty,1697.81444120876
Karate,Local,2.56538427527874,5,1,1,1724.77596470588,529.224035294118,1195.55192941177,35.1632920415225,1,Nonempty,1690.76575309544
Karate,Local,2.68754543124439,5,1,1,1722.28387712418,531.716122875817,1190.56775424837,35.0166986543637,1,Nonempty,1683.71706498212
Karate,Local,2.80970658721005,5,1,1,1719.79178954248,534.208210457516,1185.58357908497,34.8701052672049,1,Nonempty,1676.6683768688
Karate,Local,2.9318677431757,5,1,1,1717.29970196078,536.700298039216,1180.59940392157,34.7235118800461,1,Nonempty,1669.61968875547
Karate,Local,3.05402889914135,5,1,1,1714.80761437909,539.192385620915,1175.61522875817,34.5769184928874,1,Nonempty,1662.57100064215
Karate,Local,3.17619005510701,5,1,1,1712.31552679739,541.684473202614,1170.63105359477,34.4303251057286,1,Nonempty,1655.52231252883
Karate,Local,3.29835121107266,5,1,1,1709.82343921569,544.176560784314,1165.64687843137,34.2837317185698,1,Nonempty,1648.47362441551
Karate,Local,3.42051236703832,5,1,1,1707.33135163399,546.668648366013,1160.66270326797,34.137138331411,1,Nonempty,1641.42493630219
Karate,Local,3.54267352300397,5,1,1,1704.83926405229,549.160735947712,1155.67852810458,33.9905449442522,1,Nonempty,1634.37624818887
Karate,Local,3.66483467896963,5,1,1,1702.34717647059,551.652823529412,1150.69435294118,33.8439515570934,1,Nonempty,1627.32756007555
