Dataset,NetworkType,c,Alternative,IsCandidate,IsUniqueOptimum,Welfare,SingletonSum,Surplus,SurplusPerNode,ImputationExists,Status,ImputationDiameter
Karate,Local,0,1,0,0,1255.08823529412,550.911764705882,704.176470588235,20.7110726643599,1,Nonempty,995.855915009901
Karate,Local,0.122161155965654,1,0,0,1252.59614771242,553.403852287582,699.192295424837,20.5644792772011,1,Nonempty,988.80722689658
Karate,Local,0.244322311931308,1,0,0,1250.10406013072,555.895939869281,694.208120261438,20.4178858900423,1,Nonempty,981.758538783258
Karate,Local,0.366483467896963,1,0,0,1247.61197254902,558.38802745098,689.223945098039,20.2712925028835,1,Nonempty,974.709850669936
Karate,Local,0.488644623862617,1,0,0,1245.11988496732,560.88011503268,684.23976993464,20.1246991157247,1,Nonempty,967.661162556615
Karate,Local,0.610805779828271,1,0,0,1242.62779738562,563.372202614379,679.255594771242,19.9781057285659,1,Nonempty,960.612474443293
Karate,Local,0.732966935793925,1,0,0,1240.13570980392,565.864290196078,674.271419607843,19.8315123414071,1,Nonempty,953.563786329972
Karate,Local,0.85512809175958,1,0,0,1237.64362222222,568.356377777778,669.287244444444,19.6849189542484,1,Nonempty,946.51509821665
Karate,Local,0.977289247725234,1,0,0,1235.15153464052,570.848465359477,664.303069281046,19.5383255670896,1,Nonempty,939.466410103329
Karate,Local,1.09945040369089,1,0,0,1232.65944705882,573.340552941176,659.318894117647,19.3917321799308,1,Nonempty,932.417721990007
Karate,Local,1.22161155965654,1,0,0,1230.16735947712,575.832640522876,654.334718954248,19.245138792772,1,Nonempty,925.369033876685
Karate,Local,1.3437727156222,1,0,0,1227.67527189542,578.324728104575,649.35054379085,19.0985454056132,1,Nonempty,918.320345763364
Karate,Local,1.46593387158785,1,0,0,1225.18318431373,580.816815686274,644.366368627451,18.9519520184544,1,Nonempty,911.271657650042
Karate,Local,1.5880950275535,1,0,0,1222.69109673203,583.308903267974,639.382193464052,18.8053586312957,1,Nonempty,904.222969536721
Karate,Local,1.71025618351916,1,0,0,1220.19900915033,585.800990849673,634.398018300654,18.6587652441369,1,Nonempty,897.174281423399
Karate,Local,1.83241733948481,1,0,0,1217.70692156863,588.293078431372,629.413843137255,18.5121718569781,1,Nonempty,890.125593310078
Karate,Local,1.95457849545047,1,0,0,1215.21483398693,590.785166013072,624.429667973856,18.3655784698193,1,Nonempty,883.076905196756
Karate,Local,2.07673965141612,1,0,0,1212.72274640523,593.277253594771,619.445492810457,18.2189850826605,1,Nonempty,876.028217083435
Karate,Local,2.19890080738178,1,0,0,1210.23065882353,595.769341176471,614.461317647059,18.0723916955017,1,Nonempty,868.979528970113
Karate,Local,2.32106196334743,1,0,0,1207.73857124183,598.26142875817,609.47714248366,17.9257983083429,1,Nonempty,861.930840856791
Karate,Local,2.44322311931308,1,0,0,1205.24648366013,600.753516339869,604.492967320261,17.7792049211842,1,Nonempty,854.88215274347
Karate,Local,2.56538427527874,1,0,0,1202.75439607843,603.245603921569,599.508792156863,17.6326115340254,1,Nonempty,847.833464630148
