Dataset,NetworkType,c,SurplusPerNode
Karate,Local,0,38.241753171857
Karate,Local,0.0583333333333333,38.171753171857
Karate,Local,0.116666666666667,38.101753171857
Karate,Local,0.175,38.031753171857
Karate,Local,0.233333333333333,37.961753171857
Karate,Local,0.291666666666667,37.891753171857
Karate,Local,0.35,37.821753171857
Karate,Local,0.408333333333333,37.751753171857
Karate,Local,0.466666666666667,37.681753171857
Karate,Local,0.525,37.611753171857
Karate,Local,0.583333333333333,37.541753171857
Karate,Local,0.641666666666667,37.471753171857
Karate,Local,0.7,37.401753171857
Karate,Local,0.758333333333333,37.331753171857
Karate,Local,0.816666666666667,37.261753171857
Karate,Local,0.875,37.191753171857
Karate,Local,0.933333333333333,37.121753171857
Karate,Local,0.991666666666667,37.051753171857
Karate,Local,1.05,36.981753171857
Karate,Local,1.10833333333333,36.911753171857
Karate,Local,1.16666666666667,36.841753171857
Karate,Local,1.225,36.771753171857
Karate,Local,1.28333333333333,36.701753171857
Karate,Local,1.34166666666667,36.631753171857
Karate,Local,1.4,36.561753171857
Karate,Local,1.45833333333333,36.491753171857
Karate,Local,1.51666666666667,36.421753171857
Karate,Local,1.575,36.351753171857
Karate,Local,1.63333333333333,36.281753171857
Karate,Local,1.69166666666667,36.211753171857
Karate,Local,1.75,36.141753171857
Karate,Local,1.80833333333333,36.071753171857
Karate,Local,1.86666666666667,36.001753171857
Karate,Local,1.925,35.931753171857
Karate,Local,1.98333333333333,35.861753171857
Karate,Local,2.04166666666667,35.791753171857
Karate,Local,2.1,35.721753171857
Karate,Local,2.15833333333333,35.651753171857
Karate,Local,2.21666666666667,35.581753171857
Karate,Local,2.275,35.511753171857
Karate,Local,2.33333333333333,35.441753171857
Karate,Local,2.39166666666667,35.371753171857
Karate,Local,2.45,35.301753171857
Karate,Local,2.50833333333333,35.231753171857
Karate,Local,2.56666666666667,35.161753171857
Karate,Local,2.625,35.091753171857
Karate,Local,2.68333333333333,35.021753171857
Karate,Local,2.74166666666667,34.951753171857
Karate,Local,2.8,34.881753171857
Karate,Local,2.85833333333333,34.811753171857
Karate,Local,2.91666666666667,34.741753171857
Karate,Local,2.975,34.671753171857
Karate,Local,3.03333333333333,34.601753171857
Karate,Local,3.09166666666667,34.531753171857
Karate,Local,3.15,34.461753171857
Karate,Local,3.20833333333333,34.391753171857
Karate,Local,3.26666666666667,34.321753171857
Karate,Local,3.325,34.251753171857
Karate,Local,3.38333333333333,34.181753171857
Karate,Local,3.44166666666667,34.111753171857
Karate,Local,3.5,34.041753171857
Karate,Local,3.55833333333333,33.971753171857
Karate,Local,3.61666666666667,33.901753171857
Karate,Local,3.675,33.831753171857
Karate,Local,3.73333333333333,33.761753171857
Karate,Local,3.79166666666667,33.691753171857
Karate,Local,3.85,33.621753171857
Karate,Local,3.90833333333333,33.551753171857
Karate,Local,3.96666666666667,33.481753171857
Karate,Local,4.025,33.411753171857
Karate,Local,4.08333333333333,33.341753171857
Karate,Local,4.14166666666667,33.271753171857
Karate,Local,4.2,33.201753171857
Karate,Local,4.25833333333333,33.131753171857
Karate,Local,4.31666666666667,33.061753171857
Karate,Local,4.375,32.991753171857
Karate,Local,4.43333333333333,32.921753171857
Karate,Local,4.49166666666667,32.851753171857
Karate,Local,4.55,32.781753171857
Karate,Local,4.60833333333333,32.711753171857
Karate,Local,4.66666666666667,32.641753171857
Karate,Local,4.725,32.571753171857
Karate,Local,4.78333333333333,32.501753171857
Karate,Local,4.84166666666667,32.431753171857
Karate,Local,4.9,32.361753171857
Karate,Local,4.95833333333333,32.291753171857
Karate,Local,5.01666666666667,32.221753171857
Karate,Local,5.075,32.151753171857
Karate,Local,5.13333333333333,32.081753171857
Karate,Local,5.19166666666667,32.011753171857
Karate,Local,5.25,31.941753171857
Karate,Local,5.30833333333333,31.871753171857
Karate,Local,5.36666666666667,31.801753171857
Karate,Local,5.425,31.731753171857
Karate,Local,5.48333333333333,31.661753171857
Karate,Local,5.54166666666667,31.591753171857
Karate,Local,5.6,31.521753171857
Karate,Local,5.65833333333333,31.451753171857
Karate,Local,5.71666666666667,31.381753171857
Karate,Local,5.775,31.311753171857
Karate,Local,5.83333333333333,31.241753171857
Karate,Local,5.89166666666667,31.171753171857
Karate,Local,5.95,31.101753171857
Karate,Local,6.00833333333333,31.031753171857
Karate,Local,6.06666666666667,30.961753171857
Karate,Local,6.125,30.891753171857
Karate,Local,6.18333333333333,30.821753171857
Karate,Local,6.24166666666667,30.751753171857
Karate,Local,6.3,30.681753171857
Karate,Local,6.35833333333333,30.611753171857
Karate,Local,6.41666666666667,30.541753171857
Karate,Local,6.475,30.471753171857
Karate,Local,6.53333333333333,30.401753171857
Karate,Local,6.59166666666667,30.331753171857
Karate,Local,6.65,30.261753171857
Karate,Local,6.70833333333333,30.191753171857
Karate,Local,6.76666666666667,30.121753171857
Karate,Local,6.825,30.051753171857
Karate,Local,6.88333333333333,29.981753171857
Karate,Local,6.94166666666667,29.911753171857
Karate,Local,7,29.841753171857
Karate,Local,7.05833333333333,29.771753171857
Karate,Local,7.11666666666667,29.701753171857
Karate,Local,7.175,29.631753171857
Karate,Local,7.23333333333333,29.561753171857
Karate,Local,7.29166666666667,29.491753171857
Karate,Local,7.35,29.421753171857
Karate,Local,7.40833333333333,29.351753171857
Karate,Local,7.46666666666667,29.281753171857
Karate,Local,7.525,29.211753171857
Karate,Local,7.58333333333333,29.141753171857
Karate,Local,7.64166666666667,29.071753171857
Karate,Local,7.7,29.001753171857
Karate,Local,7.75833333333333,28.931753171857
Karate,Local,7.81666666666667,28.861753171857
Karate,Local,7.875,28.791753171857
Karate,Local,7.93333333333333,28.721753171857
Karate,Local,7.99166666666667,28.651753171857
Karate,Local,8.05,28.581753171857
Karate,Local,8.10833333333333,28.511753171857
Karate,Local,8.16666666666667,28.441753171857
Karate,Local,8.225,28.371753171857
Karate,Local,8.28333333333333,28.301753171857
Karate,Local,8.34166666666667,28.231753171857
Karate,Local,8.4,28.161753171857
Karate,Local,8.45833333333333,28.091753171857
Karate,Local,8.51666666666667,28.021753171857
Karate,Local,8.575,27.951753171857
Karate,Local,8.63333333333333,27.881753171857
Karate,Local,8.69166666666667,27.811753171857
Karate,Local,8.75,27.741753171857
Karate,Local,8.80833333333333,27.671753171857
Karate,Local,8.86666666666667,27.601753171857
Karate,Local,8.925,27.531753171857
Karate,Local,8.98333333333333,27.461753171857
Karate,Local,9.04166666666667,27.391753171857
Karate,Local,9.1,27.321753171857
Karate,Local,9.15833333333333,27.251753171857
Karate,Local,9.21666666666667,27.181753171857
Karate,Local,9.275,27.111753171857
Karate,Local,9.33333333333333,27.041753171857
Karate,Local,9.39166666666667,26.971753171857
Karate,Local,9.45,26.901753171857
Karate,Local,9.50833333333333,26.831753171857
Karate,Local,9.56666666666667,26.761753171857
Karate,Local,9.625,26.691753171857
Karate,Local,9.68333333333333,26.621753171857
Karate,Local,9.74166666666667,26.551753171857
Karate,Local,9.8,26.481753171857
Karate,Local,9.85833333333333,26.411753171857
Karate,Local,9.91666666666667,26.341753171857
Karate,Local,9.975,26.271753171857
Karate,Local,10.0333333333333,26.201753171857
Karate,Local,10.0916666666667,26.131753171857
Karate,Local,10.15,26.061753171857
Karate,Local,10.2083333333333,25.991753171857
Karate,Local,10.2666666666667,25.921753171857
Karate,Local,10.325,25.851753171857
Karate,Local,10.3833333333333,25.781753171857
Karate,Local,10.4416666666667,25.711753171857
Karate,Local,10.5,25.641753171857
Karate,Local,10.5583333333333,25.571753171857
Karate,Local,10.6166666666667,25.501753171857
Karate,Local,10.675,25.431753171857
Karate,Local,10.7333333333333,25.361753171857
Karate,Local,10.7916666666667,25.291753171857
Karate,Local,10.85,25.221753171857
Karate,Local,10.9083333333333,25.151753171857
Karate,Local,10.9666666666667,25.081753171857
Karate,Local,11.025,25.011753171857
Karate,Local,11.0833333333333,24.941753171857
Karate,Local,11.1416666666667,24.871753171857
Karate,Local,11.2,24.801753171857
Karate,Local,11.2583333333333,24.731753171857
Karate,Local,11.3166666666667,24.661753171857
Karate,Local,11.375,24.591753171857
Karate,Local,11.4333333333333,24.521753171857
Karate,Local,11.4916666666667,24.451753171857
Karate,Local,11.55,24.381753171857
Karate,Local,11.6083333333333,24.311753171857
Karate,Local,11.6666666666667,24.241753171857
Karate,Local,11.725,24.171753171857
Karate,Local,11.7833333333333,24.101753171857
Karate,Local,11.8416666666667,24.031753171857
Karate,Local,11.9,23.961753171857
Karate,Local,11.9583333333333,23.891753171857
Karate,Local,12.0166666666667,23.821753171857
Karate,Local,12.075,23.751753171857
Karate,Local,12.1333333333333,23.681753171857
Karate,Local,12.1916666666667,23.611753171857
Karate,Local,12.25,23.541753171857
Karate,Local,12.3083333333333,23.471753171857
Karate,Local,12.3666666666667,23.401753171857
Karate,Local,12.425,23.331753171857
Karate,Local,12.4833333333333,23.261753171857
Karate,Local,12.5416666666667,23.191753171857
Karate,Local,12.6,23.121753171857
Karate,Local,12.6583333333333,23.051753171857
Karate,Local,12.7166666666667,22.981753171857
Karate,Local,12.775,22.911753171857
Karate,Local,12.8333333333333,22.841753171857
Karate,Local,12.8916666666667,22.771753171857
Karate,Local,12.95,22.701753171857
Karate,Local,13.0083333333333,22.631753171857
Karate,Local,13.0666666666667,22.561753171857
Karate,Local,13.125,22.491753171857
Karate,Local,13.1833333333333,22.421753171857
Karate,Local,13.2416666666667,22.351753171857
Karate,Local,13.3,22.281753171857
Karate,Local,13.3583333333333,22.211753171857
Karate,Local,13.4166666666667,22.141753171857
Karate,Local,13.475,22.071753171857
Karate,Local,13.5333333333333,22.001753171857
Karate,Local,13.5916666666667,21.931753171857
Karate,Local,13.65,21.861753171857
Karate,Local,13.7083333333333,21.791753171857
Karate,Local,13.7666666666667,21.721753171857
Karate,Local,13.825,21.651753171857
Karate,Local,13.8833333333333,21.581753171857
Karate,Local,13.9416666666667,21.511753171857
Karate,Local,14,21.441753171857
Karate,Local,14.0583333333333,21.371753171857
Karate,Local,14.1166666666667,21.301753171857
Karate,Local,14.175,21.231753171857
Karate,Local,14.2333333333333,21.161753171857
Karate,Local,14.2916666666667,21.091753171857
Karate,Local,14.35,21.021753171857
Karate,Local,14.4083333333333,20.951753171857
Karate,Local,14.4666666666667,20.881753171857
Karate,Local,14.525,20.811753171857
Karate,Local,14.5833333333333,20.741753171857
Karate,Local,14.6416666666667,20.671753171857
Karate,Local,14.7,20.601753171857
Karate,Local,14.7583333333333,20.531753171857
Karate,Local,14.8166666666667,20.461753171857
Karate,Local,14.875,20.391753171857
Karate,Local,14.9333333333333,20.321753171857
Karate,Local,14.9916666666667,20.251753171857
Karate,Local,15.05,20.181753171857
Karate,Local,15.1083333333333,20.111753171857
Karate,Local,15.1666666666667,20.041753171857
Karate,Local,15.225,19.971753171857
Karate,Local,15.2833333333333,19.901753171857
Karate,Local,15.3416666666667,19.831753171857
Karate,Local,15.4,19.761753171857
Karate,Local,15.4583333333333,19.691753171857
Karate,Local,15.5166666666667,19.621753171857
Karate,Local,15.575,19.551753171857
Karate,Local,15.6333333333333,19.481753171857
Karate,Local,15.6916666666667,19.411753171857
Karate,Local,15.75,19.341753171857
Karate,Local,15.8083333333333,19.271753171857
Karate,Local,15.8666666666667,19.201753171857
Karate,Local,15.925,19.131753171857
Karate,Local,15.9833333333333,19.061753171857
Karate,Local,16.0416666666667,18.991753171857
Karate,Local,16.1,18.921753171857
Karate,Local,16.1583333333333,18.851753171857
Karate,Local,16.2166666666667,18.781753171857
Karate,Local,16.275,18.711753171857
Karate,Local,16.3333333333333,18.641753171857
Karate,Local,16.3916666666667,18.571753171857
Karate,Local,16.45,18.501753171857
